,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,128.0,19.0,0.7414965986394558,1.2223667835728023,20.0,85.14335,42.05734,20.0,980.0,1151.0,2.0,3.0,7.0
1,321.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,48.0,3.0,0.8823529411764706,0.4245837414299706,26.0,85.31915,44.52766,26.0,401.0,470.0,2.0,4.0,7.0
2,2345.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,53.0,21.0,0.43243243243243246,0.6137637301053576,15.0,79.64377,37.857508,15.0,626.0,786.0,2.0,4.0,6.0
3,4321.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,93.0,21.0,0.631578947368421,0.9470922606034106,20.0,81.05148,40.420592,20.0,740.0,913.0,2.0,8.0,7.0
4,432.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,93.0,21.0,0.631578947368421,0.9470922606034106,20.0,81.05148,40.420592,20.0,740.0,913.0,2.0,8.0,7.0
5,2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,61.0,7.0,0.7941176470588235,0.5656961096158551,18.0,80.66914,39.467656000000005,18.0,651.0,807.0,2.0,6.0,7.0
6,3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,61.0,15.0,0.6052631578947368,0.6312568306010929,22.0,81.01266,41.205064,22.0,640.0,790.0,2.0,2.0,7.0
7,3817.4,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,109.0,4.0,0.9292035398230089,0.9411114386792453,18.0,79.83943,39.135772,18.0,895.0,1121.0,2.0,6.0,7.0
8,4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,50.0,3.0,0.8867924528301887,0.4412503927112787,23.0,78.53535,40.61414,23.0,311.0,396.0,2.0,1.0,7.0
9,4741.0,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,38.0,36.0,0.02702702702702703,0.6117068811438785,20.0,82.16645,40.86658,20.0,622.0,757.0,2.0,7.0,7.0
10,5202.8,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,17.0,9.0,0.3076923076923077,0.2154238368387508,17.0,74.1573,36.462920000000004,17.0,264.0,356.0,2.0,6.0,6.0
11,5664.6,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,72.0,15.0,0.6551724137931034,0.7229226361031519,21.0,77.5641,39.42564,21.0,726.0,936.0,2.0,8.0,6.0
12,6126.4,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,38.0,2.0,0.9,0.33305578684429643,25.0,76.53277,40.613108000000004,25.0,362.0,473.0,2.0,2.0,7.0
13,6588.2,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,36.0,15.0,0.4117647058823529,0.42292682926829267,25.0,70.06536,38.026144,25.0,536.0,765.0,2.0,7.0,6.0
14,7050.0,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,44.0,16.0,0.4666666666666667,0.497787610619469,19.0,75.90711,37.962844000000004,19.0,523.0,689.0,2.0,3.0,6.0
